보은IC,낙동JC,50.5
충북 옥천군,옥천IC,15.0
옥천IC,영동IC,29.4
옥천IC,비룡JC,10.8
충북 영동군,영동IC,15.0
영동IC,김천IC,33.6
충북 증평군,증평IC,15.0
증평IC,진천IC,12.8
증평IC,오창JC,5.6
충북 진천군,진천IC,15.0
진천IC,대소JC,10.1
충북 괴산군,괴산IC,15.0
괴산IC,충주JC,30.8
괴산IC,점촌함창IC,43.8
충북 음성군,음성IC,15.0
음성IC,대소JC,15.9
음성IC,충주JC,14.1
충북 단양군,단양IC,15.0
단양IC,제천JC,27.4
단양IC,영주IC,29.0
충남 공주시,공주IC,15.0
공주IC,공주JC,5.1
공주IC,남세종IC,20.3
충남 보령시,대천IC,15.0
대천IC,홍성IC,31.7
대천IC,서천IC,34.0
충남 아산시,남풍세IC,15.0
남풍세IC,천안JC,7.8
남풍세IC,공주JC,29.0
충남 서산시,서산IC,15.0
서산IC,충남 태안군,15.0
서산IC,당진JC,7.7
서산IC,홍성IC,25.6
충남 논산시,서논산IC,15.0
서논산IC,공주JC,31.4
서논산IC,논산JC,18.5
충남 금산군,금산IC,15.0
금산IC,무주IC,20.9
충남 부여군,부여IC,15.0
부여IC,청양IC,14.1
부여IC,동서천JC,30.3
충남 서천군,서천IC,15.0
서천IC,동서천JC,9.5
충남 청양군,청양IC,15.0
청양IC,서공주JC,17.8
충남 홍성군,홍성IC,15.0
충남 예산군,예산수덕사IC,15.0
예산수덕사IC,당진JC,25.5
예산수덕사IC,서공주JC,36.4
충남 당진시,당진IC,15.0
당진IC,서평택JC,28.2
당진IC,당진JC,10.9
전북 전주시 완산구,서전주IC,15.0
서전주IC,삼례IC,13.8
서전주IC,정읍IC,35.4
전북 전주시 덕진구,동전주IC,15.0
동전주IC,완주JC,5.6
동전주IC,임실IC,28.2
전북 군산시,군산IC,15.0
군산IC,동서천JC,7.7
군산IC,서김제IC,22.4
전북 익산시,삼례IC,15.0
삼례IC,익산JC,2.8
전북 정읍시,정읍IC,15.0
정읍IC,장성JC,31.0
전북 남원시,남원IC,15.0
남원IC,남원JC,9.3
남원IC,함양IC,40.2
전북 김제시,서김제IC,15.0
서김제IC,부안IC,14.6
전북 완주군,완주IC,15.0
완주IC,익산JC,8.4
완주IC,완주JC,3.9
전북 진안군,진안IC,15.0
진안IC,완주JC,34.5
진안IC,장수IC,17.7
전북 무주군,무주IC,15.0
무주IC,장수JC,31.6
전북 장수군,장수IC,15.0
장수IC,장수JC,3.3
전북 임실군,임실IC,15.0
임실IC,남원JC,28.9
전북 순창군,순창IC,15.0
순창IC,담양IC,19.8
순창IC,남원JC,17.8
전북 고창군,고창IC,15.0
고창IC,부안IC,35.7
고창IC,고창JC,2.5
전북 부안군,부안IC,15.0
전남 목포시,일로IC,15.0
일로IC,전남 신안군,15.0
일로IC,무안IC,18.2
전남 순천시,순천IC,15.0
순천IC,순천JC,2.2
전남 나주시,나주IC,15.0
나주IC,함평JC,22.6
전남 광양시,동광양IC,15.0
동광양IC,순천JC,13.2
동광양IC,하동IC,19.0
전남 담양군,담양IC,15.0
담양IC,담양JC,3.8
전남 곡성군,곡성IC,15.0
곡성IC,대덕JC,19.2
전남 구례군,구례화엄사IC,15.0
구례화엄사IC,남원JC,20.9
구례화엄사IC,순천JC,33.2
전남 고흥군,고흥IC,15.0
고흥IC,보성IC,25.3
전남 보성군,보성IC,15.0
보성IC,장흥IC,24.3
전남 장흥군,장흥IC,15.0
장흥IC,강진무위사IC,19.4
전남 강진군,강진무위사IC,15.0
강진무위사IC,전남 해남군,15.0
강진무위사IC,전남 영암군,15.0
강진무위사IC,전남 완도군,15.0
전남 무안군,무안IC,15.0
무안IC,함평JC,3.6
전남 함평군,함평IC,15.0
함평IC,영광IC,25.9
함평IC,함평JC,9.3
전남 영광군,영광IC,15.0
영광IC,고창JC,17.1
전남 장성군,장성IC,15.0
장성IC,장성JC,6.8
경북 경주시,경주IC,15.0
경주IC,언양JC,28.8
경주IC,영천JC,23.0
경북 김천시,김천IC,15.0
김천IC,김천JC,18.1
경북 구미시,구미IC,15.0
구미IC,왜관IC,20.3
구미IC,김천JC,12.2
경북 영주시,영주IC,15.0
영주IC,경북 봉화군,15.0
영주IC,예천IC,12.8
경북 영천시,영천IC,15.0
영천IC,영천JC,35.3
영천IC,동대구JC,65.6
경북 상주시,상주IC,15.0
상주IC,점촌함창IC,21.7
상주IC,낙동JC,8.4
경북 문경시,점촌함창IC,15.0
경북 경산시,수성IC,15.0
수성IC,청도IC,24.6
경북 군위군,군위IC,15.0
군위IC,의성IC,12.3
군위IC,군위JC,7.8
경북 의성군,의성IC,15.0
의성IC,안동JC,19.2
경북 청송군,청송IC,15.0
청송IC,경북 영양군,15.0
청송IC,안동JC,39.3
경북 청도군,청도IC,15.0
청도IC,밀양JC,18.0
경북 고령군,고령IC,15.0
고령IC,경남 합천군,15.0
고령IC,거창IC,33.3
고령IC,고령JC,14.9
경북 성주군,성주IC,15.0
성주IC,김천JC,29.5
성주IC,고령JC,23.1
경북 칠곡군,왜관IC,15.0
왜관IC,금호JC,14.9
경북 예천군,예천IC,15.0
경남 창원시 의창구,동마산IC,15.0
동마산IC,창원JC,5.5
경남 창원시 성산구,대청IC,15.0
대청IC,진례JC,5.9
대청IC,진해IC,4.8
경남 창원시 진해구,진해IC,15.0
경남 진주시,진주IC,15.0
진주IC,진주JC,4.6
경남 통영시,통영IC,15.0
통영IC,경남 거제시,15.0
통영IC,고성IC,19.0
경남 사천시,사천IC,15.0
사천IC,하동IC,30.7
사천IC,진주JC,3.3
경남 김해시,동김해IC,15.0
동김해IC,냉정JC,10.1
동김해IC,김해JC,3.3
경남 밀양시,밀양IC,15.0
밀양IC,밀양JC,4.3
밀양IC,대동JC,36.7
경남 양산시,남양산IC,15.0
남양산IC,양산JC,1.3
남양산IC,대동JC,7.9
경남 의령군,군복IC,15.0
군복IC,함안IC,7.3
경남 함안군,함안IC,15.0
함안IC,산인JC,8.2
경남 창녕군,창녕IC,15.0
창녕IC,헌풍JC,18.2
창녕IC,칠원JC,33.5
경남 고성군,고성IC,15.0
고성IC,진주JC,29.7
경남 남해군,하동IC,15.0
하동IC,경남 하동군,15.0
경남 산청군,산청IC,15.0
산청IC,함양JC,16.9
산청IC,진주JC,43.1
경남 함양군,함양IC,15.0
함양IC,함양JC,2.6
경남 거창군,거창IC,15.0
거창IC,함양JC,25.1
세종특별자치시,남세종IC,15.0
남세종IC,유성JC,6.0
양산JC,서울주JC,35.5
서울주JC,언양JC,13.7
서울주JC,밀양JC,45.5
서울주JC,울주JC,13.5
언양JC,울산JC,12.3
영천JC,화산JC,19.7
동대구JC,도동JC,5.0
금호JC,군위JC,35.6
김천JC,낙동JC,25.4
회덕JC,청주JC,19.9
청주JC,남이JC,17.8
옥산JC,천안JC,18.7
옥산JC,오창JC,11.7
안성JC,평택JC,16.9
동탄JC,서오산JC,9.6
판교JC,금토JC,1.4
산인JC,칠원JC,3.3
산인JC,내서JC,4.0
칠원JC,창원JC,12.2
칠원JC,내서JC,4.5
창원JC,진영JC,6.6
진영JC,진례JC,22.0
진영JC,대감JC,27.3
진례JC,냉정JC,3.7
김해JC,대저JC,4.7
김해JC,대동JC,9.7
고서JC,담양JC,4.2
고서JC,문흥JC,5.1
고서JC,대덕JC,8.8
담양JC,장성JC,20.2
담양JC,대덕JC,6.6
함양JC,장수JC,30.4
고령JC,옥포JC,10.1
