23,47,75,31,85,80,92,0,41,140,85,134,132,233,166,165,300,115,248,101,309,124,230,0
23,45,75,38,87,78,89,0,38,133,86,132,135,252,174,171,306,125,258,106,329,118,252,0
24,43,69,48,84,76,84,0,39,134,82,127,137,271,182,191,334,131,280,96,351,116,264,0
24,40,69,65,82,76,87,0,37,131,80,125,135,296,196,196,360,145,290,99,368,126,276,0
22,39,73,75,82,77,90,0,36,138,78,126,137,308,212,207,392,153,302,106,400,134,302,0
21,40,79,95,78,74,100,0,40,156,84,138,143,324,218,224,424,167,324,104,425,156,324,0
20,40,85,110,89,73,107,0,41,162,90,149,148,361,236,229,442,180,350,108,464,170,350,0
20,42,91,142,97,75,114,0,43,170,101,162,165,380,260,243,458,201,364,115,493,182,370,0
20,43,94,173,110,76,127,0,46,178,110,178,179,408,272,264,492,223,382,114,528,184,404,0
21,46,96,226,120,74,135,0,45,190,120,194,185,423,288,277,512,233,414,108,555,192,420,0
21,46,99,293,132,74,145,0,43,201,126,206,199,455,316,289,528,241,432,111,579,200,332,0
21,43,98,370,140,74,154,0,40,214,137,222,207,400,334,301,556,248,362,120,608,206,348,0
21,44,98,455,144,76,162,0,39,223,144,240,219,420,250,309,594,160,382,123,635,220,356,0
20,44,98,545,148,76,166,0,39,237,150,249,231,433,266,221,550,167,394,134,664,224,364,0
19,44,99,643,153,77,172,0,39,243,155,258,236,448,268,231,582,169,416,139,604,144,390,0
19,46,97,750,160,72,177,0,36,162,162,268,245,459,278,244,600,176,432,142,641,150,410,0
20,43,93,849,166,72,152,0,36,169,167,185,157,476,292,252,632,183,444,151,665,158,432,0
21,39,85,952,170,73,160,0,33,178,174,192,164,495,306,271,648,203,450,162,699,168,460,0
21,40,82,1028,179,74,170,0,34,186,181,211,177,519,314,287,668,207,474,172,723,180,476,0
21,40,80,1158,188,71,182,0,34,203,190,220,183,539,330,296,694,215,492,188,755,194,508,0
21,42,79,1257,197,71,195,0,33,219,199,233,196,563,338,316,718,223,530,194,785,204,524,0
21,43,88,1325,206,74,212,0,36,234,213,246,205,579,352,328,734,241,546,199,825,224,546,0
21,43,98,1403,212,77,226,0,36,246,225,254,223,603,362,344,748,252,568,201,864,234,576,0
