택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
003P10012,전북 전주시 완산구,3,214,3,진주 우편집중국,17,29,202,18,중부권 광역우편물류센터,42,89,229,4,수원 우편집중국,104,116,77,1,경기 수원시 권선구,0,0
003P10013,경기 광명시,3,60,2,성남 우편집중국,7,19,218,6,중부권 광역우편물류센터,34,58,318,3,울산 우편집중국,79,91,30,1,울산 중구,0,0
003P10014,경기 성남시 중원구,3,43,1,성남 우편집중국,6,18,218,2,중부권 광역우편물류센터,33,57,218,3,성남 우편집중국,72,84,48,1,경기 과천시,0,0
003P10015,전북 진안군,3,150,1,진주 우편집중국,13,25,202,8,중부권 광역우편물류센터,38,62,261,9,의정부 우편집중국,79,91,68,3,경기 의정부시,0,0
003P10016,전북 전주시 완산구,3,214,3,진주 우편집중국,17,29,202,18,중부권 광역우편물류센터,42,89,218,14,성남 우편집중국,104,116,88,4,서울 구로구,0,0
003P10017,대구 북구,3,30,1,대구 우편집중국,5,17,192,1,중부권 광역우편물류센터,30,54,253,2,부천 우편집중국,71,83,36,1,경기 부천시,0,0
003P10018,충남 청양군,3,102,1,대전 우편집중국,10,22,53,7,중부권 광역우편물류센터,26,50,261,1,의정부 우편집중국,67,79,68,1,경기 의정부시,0,0
003P10019,충남 공주시,3,76,1,대전 우편집중국,8,20,53,5,중부권 광역우편물류센터,24,48,199,1,광주 우편집중국,61,73,150,1,광주 남구,0,0
003P10020,서울 동대문구,3,84,1,동서울 우편집중국,9,21,248,6,중부권 광역우편물류센터,38,62,256,12,원주 우편집중국,79,91,108,2,강원 양구군,0,0
003P10021,경기 고양시 일산동구,3,30,1,고양 우편집중국,5,17,268,3,중부권 광역우편물류센터,35,59,53,1,대전 우편집중국,63,75,30,2,충남 계룡시,0,0
003P10022,전북 부안군,3,270,1,진주 우편집중국,21,33,202,20,중부권 광역우편물류센터,46,89,192,20,대구 우편집중국,102,114,43,4,대구 남구,0,0
003P10023,광주 서구,3,150,1,광주 우편집중국,13,25,199,6,중부권 광역우편물류센터,38,62,290,5,영암 우편집중국,81,93,50,1,전남 강진군,0,0
003P10024,경기 의왕시,3,66,1,성남 우편집중국,7,19,218,6,중부권 광역우편물류센터,34,58,199,4,광주 우편집중국,71,83,39,1,전남 장성군,0,0
003P10025,경기 여주시,3,75,2,원주 우편집중국,8,20,256,6,중부권 광역우편물류센터,37,61,256,7,원주 우편집중국,78,90,54,1,강원 횡성군,0,0
003P10026,강원 강릉시,3,30,2,강릉 우편집중국,5,17,368,2,중부권 광역우편물류센터,42,89,192,20,대구 우편집중국,102,114,106,1,경북 김천시,0,0
003P10027,전북 순창군,3,169,1,진주 우편집중국,14,26,202,10,중부권 광역우편물류센터,39,63,256,14,원주 우편집중국,80,92,62,1,강원 영월군,0,0
003P10028,서울 서초구,3,79,1,동서울 우편집중국,8,20,248,5,중부권 광역우편물류센터,37,61,216,7,안동 우편집중국,75,87,119,2,경북 문경시,0,0
003P10029,울산 남구,3,30,1,울산 우편집중국,5,17,318,1,중부권 광역우편물류센터,38,62,218,16,성남 우편집중국,77,89,88,2,서울 구로구,0,0
003P10030,강원 화천군,3,108,3,원주 우편집중국,10,22,256,10,중부권 광역우편물류센터,39,63,202,17,진주 우편집중국,76,88,180,2,전북 임실군,0,0
003P10031,전남 광양시,3,47,1,순천 집중과,6,18,233,2,중부권 광역우편물류센터,34,58,133,3,천안 우편집중국,67,79,164,1,충북 영동군,0,0
003P10032,강원 원주시,3,30,1,원주 우편집중국,5,17,256,2,중부권 광역우편물류센터,34,58,202,4,진주 우편집중국,71,83,306,1,전북 군산시,0,0
003P10033,경남 사천시,3,42,2,진주 우편집중국,6,18,202,3,중부권 광역우편물류센터,31,55,248,3,동서울 우편집중국,72,84,30,1,서울 광진구,0,0
004P10001,전북 완주군,4,189,1,진주 우편집중국,17,29,202,18,중부권 광역우편물류센터,42,89,218,14,성남 우편집중국,104,116,51,5,서울 동작구,0,0
004P10002,경북 경주시,4,226,1,포항 우편집중국,19,31,271,8,중부권 광역우편물류센터,49,137,216,7,안동 우편집중국,151,163,57,5,경북 봉화군,0,0
004P10003,인천 서구,4,47,1,부천 우편집중국,7,19,253,8,중부권 광역우편물류센터,36,60,253,6,부천 우편집중국,77,89,36,1,서울 영등포구,0,0
004P10004,전남 완도군,4,50,1,영암 우편집중국,7,19,290,6,중부권 광역우편물류센터,38,62,295,7,부산 우편집중국,82,94,70,2,부산 사하구,0,0
004P10005,경남 창원시 성산구,4,75,3,창원 우편집중국,9,21,251,4,중부권 광역우편물류센터,38,62,290,5,영암 우편집중국,81,93,69,1,전남 장흥군,0,0
004P10006,강원 영월군,4,62,1,원주 우편집중국,8,20,256,6,중부권 광역우편물류센터,37,61,251,6,창원 우편집중국,78,90,117,1,경남 고성군,0,0
004P10007,충남 서산시,4,128,1,천안 우편집중국,13,25,133,6,중부권 광역우편물류센터,34,58,256,3,원주 우편집중국,75,87,75,1,경기 여주시,0,0
004P10008,경북 김천시,4,106,1,대구 우편집중국,11,23,192,8,중부권 광역우편물류센터,36,60,199,7,광주 우편집중국,73,85,150,1,광주 서구,0,0
004P10009,인천 강화군,4,96,3,부천 우편집중국,10,22,253,13,중부권 광역우편물류센터,39,63,216,9,안동 우편집중국,77,89,90,1,경북 영양군,0,0
004P10010,서울 도봉구,4,64,1,의정부 우편집중국,8,20,261,5,중부권 광역우편물류센터,37,61,218,12,성남 우편집중국,76,88,58,4,경기 용인시 수지구,0,0
004P10011,경기 동두천시,4,45,1,의정부 우편집중국,7,19,261,4,중부권 광역우편물류센터,36,60,192,4,대구 우편집중국,73,85,55,1,경북 칠곡군,0,0
004P10012,경남 창원시 의창구,4,35,1,창원 우편집중국,6,18,251,3,중부권 광역우편물류센터,35,59,133,5,천안 우편집중국,68,80,175,2,전북 무주군,0,0
004P10013,경기 성남시 수정구,4,43,1,성남 우편집중국,7,19,218,6,중부권 광역우편물류센터,34,58,268,2,고양 우편집중국,76,88,36,1,경기 김포시,0,0
004P10014,서울 강서구,4,36,2,부천 우편집중국,6,18,253,5,중부권 광역우편물류센터,35,59,199,5,광주 우편집중국,72,84,150,3,광주 남구,0,0
004P10015,경북 의성군,4,70,1,안동 우편집중국,9,21,216,3,중부권 광역우편물류센터,35,59,251,5,창원 우편집중국,76,88,75,1,경남 창녕군,0,0
004P10016,경기 수원시 장안구,4,77,2,수원 우편집중국,9,21,229,2,중부권 광역우편물류센터,36,60,192,4,대구 우편집중국,73,85,43,1,대구 남구,0,0
004P10017,부산 서구,4,70,1,부산 우편집중국,9,21,295,9,중부권 광역우편물류센터,41,65,253,11,부천 우편집중국,82,94,36,1,서울 양천구,0,0
004P10018,인천 남동구,4,61,1,부천 우편집중국,8,20,253,10,중부권 광역우편물류센터,37,61,253,7,부천 우편집중국,78,90,47,2,인천 서구,0,0
004P10019,경기 수원시 장안구,4,77,2,수원 우편집중국,9,21,229,2,중부권 광역우편물류센터,36,60,199,7,광주 우편집중국,73,85,70,1,전남 담양군,0,0
004P10020,충남 청양군,4,102,2,대전 우편집중국,11,23,53,8,중부권 광역우편물류센터,27,51,368,1,강릉 우편집중국,76,88,97,1,강원 속초시,0,0
004P10021,서울 강서구,4,36,2,부천 우편집중국,6,18,253,5,중부권 광역우편물류센터,35,59,253,4,부천 우편집중국,76,88,47,1,인천 서구,0,0
004P10022,서울 서대문구,4,42,1,고양 우편집중국,7,19,268,4,중부권 광역우편물류센터,37,61,199,7,광주 우편집중국,74,86,150,4,광주 남구,0,0
004P10023,부산 사상구,4,70,1,부산 우편집중국,9,21,295,9,중부권 광역우편물류센터,41,89,256,12,원주 우편집중국,106,118,150,3,강원 인제군,0,0
004P10024,인천 강화군,4,96,3,부천 우편집중국,10,22,253,13,중부권 광역우편물류센터,39,63,253,10,부천 우편집중국,80,92,36,1,인천 계양구,0,0
004P10025,인천 동구,4,74,2,부천 우편집중국,9,21,253,11,중부권 광역우편물류센터,38,62,268,9,고양 우편집중국,80,92,30,2,경기 고양시 일산서구,0,0
005P10001,경기 과천시,5,48,1,성남 우편집중국,8,20,218,8,중부권 광역우편물류센터,35,59,202,5,진주 우편집중국,72,84,214,1,전북 전주시 완산구,0,0
005P10002,부산 북구,5,35,1,부산 우편집중국,7,19,295,7,중부권 광역우편물류센터,39,63,100,6,청주 우편집중국,70,82,142,1,충북 괴산군,0,0
005P10003,전북 정읍시,5,244,1,진주 우편집중국,21,33,202,20,중부권 광역우편물류센터,46,89,202,15,진주 우편집중국,102,114,53,2,경남 의령군,0,0
005P10004,전남 곡성군,5,92,1,광주 우편집중국,11,23,199,5,중부권 광역우편물류센터,36,60,133,8,천안 우편집중국,69,81,30,2,충남 천안시 동남구,0,0
005P10005,서울 서초구,5,79,2,동서울 우편집중국,10,22,248,7,중부권 광역우편물류센터,39,63,251,9,창원 우편집중국,80,92,35,1,경남 창원시 의창구,0,0
005P10006,전남 장성군,5,39,1,광주 우편집중국,8,20,199,1,중부권 광역우편물류센터,33,57,233,2,순천 집중과,73,85,47,1,전남 광양시,0,0
005P10007,경기 연천군,5,55,1,의정부 우편집중국,9,21,261,6,중부권 광역우편물류센터,38,62,133,10,천안 우편집중국,71,83,175,3,전북 무주군,0,0
005P10008,경기 성남시 중원구,5,43,2,성남 우편집중국,8,20,218,8,중부권 광역우편물류센터,35,59,256,5,원주 우편집중국,76,88,150,1,강원 인제군,0,0
005P10009,전북 무주군,5,175,1,천안 우편집중국,17,29,133,7,중부권 광역우편물류센터,38,62,256,12,원주 우편집중국,79,91,54,2,강원 횡성군,0,0
005P10010,경북 영양군,5,90,1,안동 우편집중국,11,23,216,5,중부권 광역우편물류센터,37,61,295,6,부산 우편집중국,81,93,70,1,부산 사상구,0,0
005P10011,전북 고창군,5,234,1,진주 우편집중국,21,33,202,20,중부권 광역우편물류센터,46,89,233,6,순천 집중과,105,117,58,5,전남 고흥군,0,0
005P10012,인천 부평구,5,36,1,부천 우편집중국,7,19,253,8,중부권 광역우편물류센터,36,60,53,5,대전 우편집중국,64,76,76,1,충남 공주시,0,0
005P10013,대전 중구,5,57,1,대전 우편집중국,9,21,53,6,중부권 광역우편물류센터,25,49,202,1,진주 우편집중국,62,74,34,1,경남 진주시,0,0
005P10014,충북 청주시 청원구,5,30,1,청주 우편집중국,7,19,100,2,중부권 광역우편물류센터,26,50,216,1,안동 우편집중국,64,76,119,1,경북 문경시,0,0
005P10015,서울 마포구,5,42,1,고양 우편집중국,8,20,268,5,중부권 광역우편물류센터,38,62,256,12,원주 우편집중국,79,91,227,1,강원 태백시,0,0
005P10016,충남 보령시,5,190,1,대전 우편집중국,18,30,53,5,중부권 광역우편물류센터,34,58,253,3,부천 우편집중국,75,87,68,1,경기 안산시 단원구,0,0
005P10017,경남 진주시,5,34,1,진주 우편집중국,7,19,202,4,중부권 광역우편물류센터,32,56,368,3,강릉 우편집중국,81,93,72,1,강원 동해시,0,0
005P10018,경남 창녕군,5,75,1,창원 우편집중국,10,22,251,6,중부권 광역우편물류센터,39,63,253,10,부천 우편집중국,80,92,96,1,인천 강화군,0,0
005P10019,강원 속초시,5,97,1,강릉 우편집중국,11,23,368,4,중부권 광역우편물류센터,48,137,218,16,성남 우편집중국,152,164,48,3,경기 과천시,0,0
005P10020,경북 청송군,5,90,1,안동 우편집중국,11,23,216,5,중부권 광역우편물류센터,37,61,218,12,성남 우편집중국,76,88,51,1,서울 동작구,0,0
006P10001,울산 북구,6,30,1,울산 우편집중국,8,20,318,3,중부권 광역우편물류센터,41,89,133,13,천안 우편집중국,98,110,45,4,충남 아산시,0,0
006P10002,경기 수원시 팔달구,6,69,1,수원 우편집중국,11,23,229,3,중부권 광역우편물류센터,38,62,100,3,청주 우편집중국,69,81,71,2,충북 진천군,0,0
006P10003,충남 천안시 서북구,6,30,1,천안 우편집중국,8,20,133,2,중부권 광역우편물류센터,29,53,318,1,울산 우편집중국,74,86,94,1,경남 양산시,0,0
006P10004,전남 목포시,6,45,2,영암 우편집중국,9,21,290,8,중부권 광역우편물류센터,40,64,229,3,수원 우편집중국,79,91,110,3,경기 화성시,0,0
006P10005,경북 청도군,6,79,1,대구 우편집중국,11,23,192,8,중부권 광역우편물류센터,36,60,53,5,대전 우편집중국,64,76,30,3,충남 계룡시,0,0
006P10006,강원 원주시,6,30,1,원주 우편집중국,8,20,256,6,중부권 광역우편물류센터,37,61,202,11,진주 우편집중국,74,86,244,1,전북 정읍시,0,0
006P10007,부산 중구,6,70,1,부산 우편집중국,11,23,295,12,중부권 광역우편물류센터,43,89,216,6,안동 우편집중국,103,115,70,1,경북 의성군,0,0
006P10008,경북 구미시,6,76,1,대구 우편집중국,11,23,192,8,중부권 광역우편물류센터,36,60,202,9,진주 우편집중국,73,85,124,2,경남 거창군,0,0
006P10009,충남 천안시 동남구,6,30,1,천안 우편집중국,8,20,133,2,중부권 광역우편물류센터,29,53,229,2,수원 우편집중국,68,80,86,1,경기 오산시,0,0
006P10010,울산 동구,6,30,1,울산 우편집중국,8,20,318,3,중부권 광역우편물류센터,41,89,368,6,강릉 우편집중국,114,126,30,1,강원 강릉시,0,0
006P10011,충북 음성군,6,97,1,청주 우편집중국,12,24,100,4,중부권 광역우편물류센터,31,55,271,1,포항 우편집중국,73,85,168,1,경북 영천시,0,0
006P10012,강원 홍천군,6,81,1,원주 우편집중국,11,23,256,11,중부권 광역우편물류센터,40,64,100,7,청주 우편집중국,71,83,44,2,충북 청주시 흥덕구,0,0
006P10013,경북 김천시,6,106,2,대구 우편집중국,13,25,192,17,중부권 광역우편물류센터,38,62,218,16,성남 우편집중국,77,89,43,2,경기 성남시 수정구,0,0
006P10014,전남 목포시,6,45,2,영암 우편집중국,9,21,290,8,중부권 광역우편물류센터,40,64,295,8,부산 우편집중국,84,96,70,1,부산 영도구,0,0
006P10015,서울 동작구,6,51,1,성남 우편집중국,9,21,218,10,중부권 광역우편물류센터,36,60,133,8,천안 우편집중국,69,81,45,1,충남 아산시,0,0
006P10016,충북 보은군,6,87,1,청주 우편집중국,12,24,100,4,중부권 광역우편물류센터,31,55,248,3,동서울 우편집중국,72,84,58,1,서울 송파구,0,0
006P10017,경북 군위군,6,84,1,대구 우편집중국,12,24,192,13,중부권 광역우편물류센터,37,61,202,11,진주 우편집중국,74,86,270,1,전북 부안군,0,0
006P10018,전남 순천시,6,36,2,순천 집중과,8,20,233,5,중부권 광역우편물류센터,36,60,202,9,진주 우편집중국,73,85,180,1,전북 임실군,0,0
006P10019,강원 속초시,6,97,2,강릉 우편집중국,12,24,368,6,중부권 광역우편물류센터,49,137,53,6,대전 우편집중국,141,153,190,1,충남 보령시,0,0
006P10020,전남 순천시,6,36,2,순천 집중과,8,20,233,5,중부권 광역우편물류센터,36,60,229,3,수원 우편집중국,75,87,110,2,경기 화성시,0,0
006P10021,경기 안성시,6,114,1,수원 우편집중국,14,26,229,5,중부권 광역우편물류센터,41,89,133,13,천안 우편집중국,98,110,30,1,충남 천안시 서북구,0,0
006P10022,경북 경산시,6,54,1,대구 우편집중국,10,22,192,4,중부권 광역우편물류센터,35,59,133,5,천안 우편집중국,68,80,175,2,전북 무주군,0,0
006P10023,전남 무안군,6,63,1,영암 우편집중국,10,22,290,11,중부권 광역우편물류센터,41,89,233,6,순천 집중과,105,117,58,5,전남 고흥군,0,0
006P10024,강원 고성군,6,97,1,강릉 우편집중국,12,24,368,6,중부권 광역우편물류센터,49,137,100,13,청주 우편집중국,144,156,142,2,충북 괴산군,0,0
006P10025,충북 단양군,6,98,1,원주 우편집중국,13,25,256,12,중부권 광역우편물류센터,42,89,253,13,부천 우편집중국,106,118,66,3,인천 중구,0,0
006P10026,부산 부산진구,6,70,2,부산 우편집중국,11,23,295,12,중부권 광역우편물류센터,43,89,199,14,광주 우편집중국,102,114,71,2,전남 화순군,0,0
006P10027,경북 성주군,6,88,1,대구 우편집중국,12,24,192,13,중부권 광역우편물류센터,37,61,268,8,고양 우편집중국,79,91,30,2,경기 고양시 덕양구,0,0
006P10028,대전 대덕구,6,66,1,대전 우편집중국,10,22,53,7,중부권 광역우편물류센터,26,50,256,2,원주 우편집중국,67,79,30,1,강원 원주시,0,0
006P10029,경북 포항시 남구,6,30,1,포항 우편집중국,8,20,271,2,중부권 광역우편물류센터,38,62,218,16,성남 우편집중국,77,89,51,2,서울 동작구,0,0
007P10001,전북 정읍시,7,244,2,진주 우편집중국,23,35,202,25,중부권 광역우편물류센터,48,137,256,7,원주 우편집중국,154,166,54,6,강원 횡성군,0,0
