택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
003P10004,전남 곡성군,3,92,2,광주 우편집중국,9,21,199,5,중부권 광역우편물류센터,34,58,253,11,부천 우편집중국,75,87,61,2,인천 미추홀구,91
003P10005,경기 고양시 일산서구,3,30,1,고양 우편집중국,5,17,268,1,중부권 광역우편물류센터,35,59,192,11,대구 우편집중국,72,84,55,1,경북 칠곡군,88
003P10006,경북 영덕군,3,30,1,포항 우편집중국,5,17,271,1,중부권 광역우편물류센터,35,59,100,3,청주 우편집중국,66,78,65,1,충북 청주시 상당구,82
003P10007,충북 진천군,3,71,1,청주 우편집중국,8,20,100,7,중부권 광역우편물류센터,27,51,202,4,진주 우편집중국,64,76,234,1,전북 고창군,92
003P10008,충북 괴산군,3,142,1,청주 우편집중국,12,24,100,8,중부권 광역우편물류센터,31,55,218,5,성남 우편집중국,70,82,39,1,경기 성남시 분당구,85
003P10009,전남 구례군,3,128,2,광주 우편집중국,12,24,199,7,중부권 광역우편물류센터,37,61,295,8,부산 우편집중국,81,93,70,1,부산 사상구,98
003P10010,강원 평창군,3,84,1,원주 우편집중국,9,21,256,11,중부권 광역우편물류센터,38,62,218,20,성남 우편집중국,77,89,56,2,경기 군포시,93
003P10011,부산 수영구,3,60,1,부산 우편집중국,7,19,295,10,중부권 광역우편물류센터,39,63,202,18,진주 우편집중국,76,88,142,2,전북 남원시,97
003P10012,경남 창원시 마산회원구,3,30,1,창원 우편집중국,5,17,251,2,중부권 광역우편물류센터,34,58,248,5,동서울 우편집중국,75,87,79,2,서울 서초구,92
003P10013,대전 서구,3,46,2,대전 우편집중국,6,18,53,3,중부권 광역우편물류센터,22,46,202,1,진주 우편집중국,59,71,34,1,경남 진주시,73
003P10014,대구 동구,3,50,1,대구 우편집중국,6,18,192,5,중부권 광역우편물류센터,31,55,256,3,원주 우편집중국,72,84,124,1,강원 정선군,92
003P10015,경북 예천군,3,44,1,안동 우편집중국,6,18,216,3,중부권 광역우편물류센터,32,56,192,4,대구 우편집중국,69,81,54,1,대구 달성군,85
003P10016,전북 익산시,3,200,2,진주 우편집중국,16,28,202,19,중부권 광역우편물류센터,41,87,295,15,부산 우편집중국,107,119,34,2,부산 강서구,121
003P10017,강원 태백시,3,227,1,원주 우편집중국,18,30,256,29,중부권 광역우편물류센터,47,135,318,5,울산 우편집중국,156,168,30,2,울산 북구,170
003P10018,서울 서대문구,3,42,1,고양 우편집중국,6,18,268,4,중부권 광역우편물류센터,36,60,271,3,포항 우편집중국,78,90,30,2,경북 포항시 북구,92
003P10019,경기 성남시 분당구,3,39,1,성남 우편집중국,6,18,218,3,중부권 광역우편물류센터,33,57,256,5,원주 우편집중국,74,86,108,1,강원 양구군,93
003P10020,강원 인제군,3,150,2,원주 우편집중국,13,25,256,17,중부권 광역우편물류센터,42,87,251,10,창원 우편집중국,104,116,35,2,경남 창원시 의창구,118
