택배번호,출발지,출발시간,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간,거리,통행량
004P10027,대전 유성구,4,대전 우편집중국,0,0,4,3,중부권 광역우편물류센터,0,0,0,0,대전 우편집중국,0,20,0,0,대전 대덕구,0,66.19999999999999,0
005P10001,전남 담양군,5,광주 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,의정부 우편집중국,0,23,0,0,경기 의정부시,0,67.9,0
005P10002,경남 함안군,5,창원 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,원주 우편집중국,0,22,0,0,강원 인제군,0,149.60000000000002,0
005P10003,경기 수원시 팔달구,5,수원 우편집중국,0,0,8,1,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,25,0,0,서울 성북구,0,35.7,0
005P10004,서울 은평구,5,고양 우편집중국,0,0,4,2,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,21,0,0,경북 김천시,0,105.80000000000001,0
005P10005,전남 나주시,5,광주 우편집중국,0,0,9,1,중부권 광역우편물류센터,0,0,0,0,강릉 우편집중국,0,26,0,0,강원 속초시,0,97.3,0
005P10006,전북 부안군,5,진주 우편집중국,0,0,16,1,중부권 광역우편물류센터,0,0,0,0,고양 우편집중국,0,33,0,0,경기 파주시,0,48.099999999999994,0
005P10007,경기 의정부시,5,의정부 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,광주 우편집중국,0,23,0,0,전남 구례군,0,128.4,0
005P10008,경기 안산시 상록구,5,부천 우편집중국,0,0,9,1,중부권 광역우편물류센터,0,0,0,0,성남 우편집중국,0,26,0,0,경기 용인시 처인구,0,64.0,0
005P10009,경남 창원시 마산합포구,5,창원 우편집중국,0,0,2,2,중부권 광역우편물류센터,0,0,0,0,의정부 우편집중국,0,19,0,0,서울 강북구,0,63.7,0
005P10010,강원 양양군,5,강릉 우편집중국,0,0,4,2,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,21,0,0,인천 서구,0,46.6,0
005P10011,전남 구례군,5,광주 우편집중국,0,0,9,1,중부권 광역우편물류센터,0,0,0,0,부산 우편집중국,0,26,0,0,부산 사상구,0,69.7,0
005P10012,경기 여주시,5,원주 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,고양 우편집중국,0,24,0,0,경기 고양시 일산서구,0,30.0,0
005P10013,대구 서구,5,대구 우편집중국,0,0,4,2,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,21,0,0,경북 고령군,0,80.10000000000001,0
005P10014,경기 양평군,5,동서울 우편집중국,0,0,13,1,중부권 광역우편물류센터,0,0,0,0,천안 우편집중국,0,30,0,0,충북 옥천군,0,135.1,0
005P10015,충북 청주시 흥덕구,5,청주 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,청주 우편집중국,0,21,0,0,충북 보은군,0,86.9,0
006P10001,대구 서구,6,대구 우편집중국,0,0,4,3,중부권 광역우편물류센터,0,0,0,0,청주 우편집중국,0,22,0,0,충북 음성군,0,97.0,0
006P10002,강원 평창군,6,원주 우편집중국,0,0,6,3,중부권 광역우편물류센터,0,0,0,0,부산 우편집중국,0,24,0,0,부산 강서구,0,33.900000000000006,0
006P10003,경기 시흥시,6,부천 우편집중국,0,0,6,3,중부권 광역우편물류센터,0,0,0,0,광주 우편집중국,0,24,0,0,광주 북구,0,57.0,0
006P10004,경기 구리시,6,의정부 우편집중국,0,0,5,2,중부권 광역우편물류센터,0,0,0,0,창원 우편집중국,0,23,0,0,경남 창원시 마산회원구,0,30.0,0
006P10005,부산 연제구,6,부산 우편집중국,0,0,7,2,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,25,0,0,서울 강서구,0,35.5,0
006P10006,충남 천안시 서북구,6,천안 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,원주 우편집중국,0,20,0,0,강원 양구군,0,108.20000000000002,0
006P10007,경남 거창군,6,진주 우편집중국,0,0,7,2,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,25,0,0,경북 성주군,0,88.30000000000001,0
006P10008,경기 안산시 단원구,6,부천 우편집중국,0,0,8,2,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,26,0,0,전북 정읍시,0,243.60000000000002,0
006P10009,전북 진안군,6,진주 우편집중국,0,0,9,2,중부권 광역우편물류센터,0,0,0,0,광주 우편집중국,0,27,0,0,전남 화순군,0,70.6,0
006P10010,서울 강북구,6,의정부 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,성남 우편집중국,0,23,0,0,경기 성남시 분당구,0,39.3,0
006P10011,경남 창원시 마산합포구,6,창원 우편집중국,0,0,2,3,중부권 광역우편물류센터,0,0,0,0,영암 우편집중국,0,20,0,0,전남 완도군,0,49.6,0
006P10012,강원 화천군,6,원주 우편집중국,0,0,8,1,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,26,0,0,서울 강서구,0,35.5,0
006P10013,부산 해운대구,6,부산 우편집중국,0,0,12,1,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,30,0,0,인천 중구,0,65.69999999999999,0
006P10014,서울 성북구,6,동서울 우편집중국,0,0,3,1,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,21,0,0,인천 중구,0,65.69999999999999,0
006P10015,전남 해남군,6,영암 우편집중국,0,0,3,1,중부권 광역우편물류센터,0,0,0,0,안동 우편집중국,0,21,0,0,경북 상주시,0,97.00000000000001,0
006P10016,경기 용인시 처인구,6,성남 우편집중국,0,0,7,2,중부권 광역우편물류센터,0,0,0,0,부산 우편집중국,0,25,0,0,부산 남구,0,35.2,0
006P10017,서울 송파구,6,동서울 우편집중국,0,0,8,1,중부권 광역우편물류센터,0,0,0,0,천안 우편집중국,0,26,0,0,충남 천안시 동남구,0,30.0,0
006P10018,부산 영도구,6,부산 우편집중국,0,0,7,2,중부권 광역우편물류센터,0,0,0,0,부산 우편집중국,0,25,0,0,부산 수영구,0,60.4,0
006P10019,경북 경산시,6,대구 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,24,0,0,전북 정읍시,0,243.60000000000002,0
006P10020,경기 동두천시,6,의정부 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,대전 우편집중국,0,22,0,0,충남 부여군,0,116.1,0
006P10021,전북 정읍시,6,진주 우편집중국,0,0,14,1,중부권 광역우편물류센터,0,0,0,0,순천 집중과,0,32,0,0,전남 보성군,0,83.5,0
006P10022,서울 은평구,6,고양 우편집중국,0,0,4,3,중부권 광역우편물류센터,0,0,0,0,영암 우편집중국,0,22,0,0,전남 진도군,0,30.0,0
006P10023,강원 고성군,6,강릉 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,24,0,0,경북 경산시,0,54.099999999999994,0
006P10024,충북 청주시 흥덕구,6,청주 우편집중국,0,0,4,2,중부권 광역우편물류센터,0,0,0,0,천안 우편집중국,0,22,0,0,충북 영동군,0,164.5,0
006P10025,전남 고흥군,6,순천 집중과,0,0,3,3,중부권 광역우편물류센터,0,0,0,0,광주 우편집중국,0,21,0,0,광주 북구,0,57.0,0
006P10026,경기 연천군,6,의정부 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,영암 우편집중국,0,24,0,0,전남 목포시,0,44.6,0
006P10027,전남 담양군,6,광주 우편집중국,0,0,6,2,중부권 광역우편물류센터,0,0,0,0,성남 우편집중국,0,24,0,0,경기 의왕시,0,65.8,0
006P10028,전북 진안군,6,진주 우편집중국,0,0,9,2,중부권 광역우편물류센터,0,0,0,0,성남 우편집중국,0,27,0,0,경기 군포시,0,55.7,0
006P10029,부산 영도구,6,부산 우편집중국,0,0,7,2,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,25,0,0,경북 고령군,0,80.10000000000001,0
006P10030,충남 청양군,6,대전 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,천안 우편집중국,0,25,0,0,전북 무주군,0,174.70000000000002,0
006P10031,대전 대덕구,6,대전 우편집중국,0,0,7,2,중부권 광역우편물류센터,0,0,0,0,성남 우편집중국,0,25,0,0,경기 안양시 만안구,0,55.7,0
006P10032,충남 태안군,6,천안 우편집중국,0,0,9,1,중부권 광역우편물류센터,0,0,0,0,광주 우편집중국,0,27,0,0,전남 구례군,0,128.4,0
006P10033,경기 성남시 분당구,6,성남 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,23,0,0,서울 동대문구,0,83.6,0
006P10034,전북 전주시 덕진구,6,진주 우편집중국,0,0,11,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,29,0,0,경남 남해군,0,72.9,0
006P10035,인천 미추홀구,6,부천 우편집중국,0,0,7,2,중부권 광역우편물류센터,0,0,0,0,포항 우편집중국,0,25,0,0,경북 영천시,0,168.0,0
006P10036,충남 천안시 동남구,6,천안 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,강릉 우편집중국,0,20,0,0,강원 동해시,0,71.8,0
006P10037,서울 용산구,6,동서울 우편집중국,0,0,14,1,중부권 광역우편물류센터,0,0,0,0,부산 우편집중국,0,32,0,0,부산 북구,0,35.2,0
007P10001,경북 김천시,7,대구 우편집중국,0,0,7,2,중부권 광역우편물류센터,0,0,0,0,천안 우편집중국,0,26,0,0,전북 무주군,0,174.70000000000002,0
007P10002,전남 진도군,7,영암 우편집중국,0,0,2,2,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,21,0,0,경남 거창군,0,124.0,0
007P10003,경기 여주시,7,원주 우편집중국,0,0,7,2,중부권 광역우편물류센터,0,0,0,0,수원 우편집중국,0,26,0,0,경기 평택시,0,105.19999999999999,0
007P10004,서울 도봉구,7,의정부 우편집중국,0,0,5,2,중부권 광역우편물류센터,0,0,0,0,청주 우편집중국,0,24,0,0,충북 보은군,0,86.9,0
007P10005,강원 철원군,7,의정부 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,영암 우편집중국,0,25,0,0,전남 해남군,0,49.6,0
007P10006,경기 성남시 수정구,7,성남 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,성남 우편집중국,0,24,0,0,경기 광주시,0,72.39999999999999,0
007P10007,강원 홍천군,7,원주 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,창원 우편집중국,0,25,0,0,경남 창녕군,0,74.6,0
007P10008,전북 순창군,7,진주 우편집중국,0,0,10,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,29,0,0,경남 사천시,0,42.2,0
007P10009,충남 태안군,7,천안 우편집중국,0,0,9,2,중부권 광역우편물류센터,0,0,0,0,안동 우편집중국,0,28,0,0,경북 안동시,0,30.0,0
007P10010,충남 천안시 동남구,7,천안 우편집중국,0,0,2,2,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,21,0,0,경남 진주시,0,34.3,0
007P10011,경기 포천시,7,의정부 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,24,0,0,전북 고창군,0,233.8,0
007P10012,세종특별자치시,7,대전 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,25,0,0,경남 거창군,0,124.0,0
