택배번호,출발지,출발시간,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간,거리,통행량
003P10017,강원 철원군,3,55,1,의정부 우편집중국,7,19,261,8,중부권 광역우편물류센터,36,60,261,8,의정부 우편집중국,77,89,64,2,서울 강북구,0,0
003P10018,전북 익산시,3,200,1,진주 우편집중국,16,28,202,14,중부권 광역우편물류센터,41,88,295,20,부산 우편집중국,108,120,60,2,부산 동래구,0,0
003P10019,서울 영등포구,3,36,1,부천 우편집중국,5,17,253,2,중부권 광역우편물류센터,34,58,202,5,진주 우편집중국,71,83,169,1,전북 순창군,0,0
003P10020,경기 고양시 덕양구,3,30,1,고양 우편집중국,5,17,268,1,중부권 광역우편물류센터,35,59,100,3,청주 우편집중국,66,78,44,1,충북 청주시 흥덕구,0,0
003P10021,경북 경주시,3,226,1,포항 우편집중국,18,30,271,8,중부권 광역우편물류센터,48,88,216,11,안동 우편집중국,102,114,57,1,경북 영주시,0,0
003P10022,서울 노원구,3,64,1,의정부 우편집중국,7,19,261,8,중부권 광역우편물류센터,36,60,218,13,성남 우편집중국,75,87,56,1,경기 안양시 동안구,0,0
003P10023,서울 강북구,3,64,1,의정부 우편집중국,7,19,261,8,중부권 광역우편물류센터,36,60,233,4,순천 집중과,76,88,30,1,전남 여수시,0,0
003P10024,전남 여수시,3,30,1,순천 집중과,5,17,233,1,중부권 광역우편물류센터,33,57,202,4,진주 우편집중국,70,82,73,2,경남 하동군,0,0
003P10025,전북 정읍시,3,244,1,진주 우편집중국,19,31,202,21,중부권 광역우편물류센터,44,88,100,8,청주 우편집중국,95,107,58,3,충북 증평군,0,0
003P10026,경기 파주시,3,48,1,고양 우편집중국,6,18,268,5,중부권 광역우편물류센터,36,60,248,7,동서울 우편집중국,77,89,82,1,서울 강남구,0,0
003P10027,경기 오산시,3,86,1,수원 우편집중국,9,21,229,5,중부권 광역우편물류센터,36,60,261,8,의정부 우편집중국,77,89,64,2,서울 도봉구,0,0
003P10028,서울 은평구,3,39,1,고양 우편집중국,6,18,268,5,중부권 광역우편물류센터,36,60,290,7,영암 우편집중국,79,91,63,1,전남 무안군,0,0
003P10029,부산 금정구,3,60,1,부산 우편집중국,7,19,295,6,중부권 광역우편물류센터,39,63,202,16,진주 우편집중국,76,88,284,2,전북 김제시,0,0
003P10030,경북 칠곡군,3,55,1,대구 우편집중국,7,19,192,6,중부권 광역우편물류센터,32,56,295,3,부산 우편집중국,76,88,60,1,부산 금정구,0,0
003P10031,부산 수영구,3,60,1,부산 우편집중국,7,19,295,6,중부권 광역우편물류센터,39,63,233,9,순천 집중과,79,91,47,2,전남 광양시,0,0
003P10032,경남 의령군,3,53,1,진주 우편집중국,7,19,202,4,중부권 광역우편물류센터,32,56,295,3,부산 우편집중국,76,88,35,1,부산 동구,0,0
003P10033,경남 밀양시,3,74,1,부산 우편집중국,8,20,295,8,중부권 광역우편물류센터,40,64,202,19,진주 우편집중국,77,89,180,1,전북 임실군,0,0
003P10034,경남 창원시 진해구,3,80,1,창원 우편집중국,8,20,251,5,중부권 광역우편물류센터,37,61,318,2,울산 우편집중국,82,94,30,1,울산 동구,0,0
003P10035,부산 부산진구,3,70,1,부산 우편집중국,8,20,295,8,중부권 광역우편물류센터,40,64,268,7,고양 우편집중국,82,94,42,3,서울 서대문구,0,0
003P10036,울산 남구,3,30,1,울산 우편집중국,5,17,318,3,중부권 광역우편물류센터,38,62,261,10,의정부 우편집중국,79,91,55,1,강원 철원군,0,0
003P10037,경기 연천군,3,55,1,의정부 우편집중국,7,19,261,8,중부권 광역우편물류센터,36,60,133,8,천안 우편집중국,69,81,128,2,충남 서산시,0,0
003P10038,경북 김천시,3,106,1,대구 우편집중국,10,22,192,11,중부권 광역우편물류센터,35,59,202,8,진주 우편집중국,72,84,124,1,경남 거창군,0,0
003P10039,서울 성북구,3,36,1,동서울 우편집중국,5,17,248,2,중부권 광역우편물류센터,34,58,253,8,부천 우편집중국,75,87,68,3,경기 안산시 단원구,0,0
004P10001,경기 고양시 덕양구,4,30,2,고양 우편집중국,6,18,268,5,중부권 광역우편물류센터,36,60,290,7,영암 우편집중국,79,91,45,1,전남 신안군,0,0
004P10002,경남 창원시 의창구,4,35,1,창원 우편집중국,6,18,251,3,중부권 광역우편물류센터,35,59,290,5,영암 우편집중국,78,90,30,1,전남 진도군,0,0
004P10003,대구 달서구,4,48,2,대구 우편집중국,7,19,192,6,중부권 광역우편물류센터,32,56,290,3,영암 우편집중국,75,87,50,1,전남 영암군,0,0
004P10004,인천 남동구,4,61,1,부천 우편집중국,8,20,253,11,중부권 광역우편물류센터,37,61,192,10,대구 우편집중국,74,86,30,2,대구 북구,0,0
004P10005,충북 청주시 청원구,4,30,2,청주 우편집중국,6,18,100,3,중부권 광역우편물류센터,25,49,248,1,동서울 우편집중국,66,78,84,1,서울 성동구,0,0
004P10006,전남 고흥군,4,58,1,순천 집중과,8,20,233,3,중부권 광역우편물류센터,36,60,253,10,부천 우편집중국,77,89,61,1,인천 남동구,0,0
004P10007,충북 청주시 상당구,4,65,1,청주 우편집중국,8,20,100,4,중부권 광역우편물류센터,27,51,261,1,의정부 우편집중국,68,80,64,1,서울 도봉구,0,0
004P10008,인천 중구,4,66,2,부천 우편집중국,8,20,253,11,중부권 광역우편물류센터,37,61,192,10,대구 우편집중국,74,86,30,2,대구 북구,0,0
004P10009,충북 청주시 청원구,4,30,2,청주 우편집중국,6,18,100,3,중부권 광역우편물류센터,25,49,218,1,성남 우편집중국,64,76,88,1,서울 구로구,0,0
004P10010,인천 계양구,4,36,1,부천 우편집중국,6,18,253,7,중부권 광역우편물류센터,35,59,133,6,천안 우편집중국,68,80,109,3,충남 당진시,0,0
004P10011,전남 무안군,4,63,1,영암 우편집중국,8,20,290,2,중부권 광역우편물류센터,39,63,261,12,의정부 우편집중국,80,92,55,1,경기 연천군,0,0
004P10012,경북 포항시 북구,4,30,1,포항 우편집중국,6,18,271,2,중부권 광역우편물류센터,36,60,251,2,창원 우편집중국,77,89,49,1,경남 함안군,0,0
004P10013,충남 부여군,4,116,1,대전 우편집중국,12,24,53,3,중부권 광역우편물류센터,28,52,218,2,성남 우편집중국,67,79,51,1,서울 동작구,0,0
004P10014,경기 고양시 일산동구,4,30,1,고양 우편집중국,6,18,268,5,중부권 광역우편물류센터,36,60,261,8,의정부 우편집중국,77,89,64,2,서울 노원구,0,0
004P10015,경기 수원시 장안구,4,77,2,수원 우편집중국,9,21,229,5,중부권 광역우편물류센터,36,60,202,9,진주 우편집중국,73,85,73,1,경남 남해군,0,0
004P10016,경기 안양시 만안구,4,56,2,성남 우편집중국,8,20,218,8,중부권 광역우편물류센터,35,59,133,6,천안 우편집중국,68,80,109,3,충남 당진시,0,0
004P10017,경기 용인시 처인구,4,64,2,성남 우편집중국,8,20,218,8,중부권 광역우편물류센터,35,59,248,5,동서울 우편집중국,76,88,84,2,서울 종로구,0,0
004P10018,경남 합천군,4,149,1,진주 우편집중국,14,26,202,9,중부권 광역우편물류센터,39,63,100,8,청주 우편집중국,70,82,65,1,충북 청주시 상당구,0,0
004P10019,경남 남해군,4,73,2,진주 우편집중국,9,21,202,5,중부권 광역우편물류센터,34,58,53,5,대전 우편집중국,62,74,57,2,대전 중구,0,0
004P10020,부산 강서구,4,34,2,부산 우편집중국,6,18,295,3,중부권 광역우편물류센터,38,62,233,7,순천 집중과,78,90,30,2,전남 여수시,0,0
