택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10112,전북 익산시,1,200,4,진주 우편집중국,11,23,202,121,중부권 광역우편물류센터,33,45,229,58,수원 우편집중국,56,68,69,9,경기 수원시 팔달구,71
001P10113,전남 장흥군,1,69,3,영암 우편집중국,4,16,290,21,중부권 광역우편물류센터,30,42,253,73,부천 우편집중국,55,67,36,3,서울 영등포구,69
001P10114,경기 안산시 단원구,1,68,4,부천 우편집중국,4,16,253,27,중부권 광역우편물류센터,29,41,218,60,성남 우편집중국,52,64,39,4,경기 성남시 분당구,66
001P10115,대구 북구,1,30,3,대구 우편집중국,3,15,192,12,중부권 광역우편물류센터,25,37,133,11,천안 우편집중국,44,56,109,1,충남 당진시,61
001P10116,전남 해남군,1,50,4,영암 우편집중국,3,15,290,11,중부권 광역우편물류센터,29,41,199,40,광주 우편집중국,51,63,150,3,광주 서구,71
001P10117,인천 옹진군,1,66,4,부천 우편집중국,4,16,253,27,중부권 광역우편물류센터,29,41,202,58,진주 우편집중국,51,63,244,7,전북 정읍시,75
001P10118,경북 상주시,1,97,2,안동 우편집중국,6,18,216,29,중부권 광역우편물류센터,29,41,202,58,진주 우편집중국,51,63,133,4,전북 장수군,70
001P10119,경기 여주시,1,75,4,원주 우편집중국,5,17,256,18,중부권 광역우편물류센터,30,42,295,65,부산 우편집중국,57,69,70,4,부산 부산진구,73
001P10120,강원 고성군,1,97,2,강릉 우편집중국,6,18,368,11,중부권 광역우편물류센터,36,59,202,175,진주 우편집중국,69,81,34,16,경남 진주시,83
001P10121,충남 당진시,1,109,2,천안 우편집중국,6,18,133,13,중부권 광역우편물류센터,25,37,202,15,진주 우편집중국,47,59,284,1,전북 김제시,73
001P10122,대전 중구,1,57,4,대전 우편집중국,4,16,53,23,중부권 광역우편물류센터,19,31,295,2,부산 우편집중국,46,58,35,1,부산 북구,60
001P10123,강원 태백시,1,227,1,원주 우편집중국,12,24,256,111,중부권 광역우편물류센터,37,59,53,111,대전 우편집중국,62,74,77,15,충남 논산시,78
001P10124,경남 창원시 진해구,1,80,3,창원 우편집중국,5,17,251,20,중부권 광역우편물류센터,30,42,261,41,의정부 우편집중국,55,67,55,3,경기 연천군,70
001P10125,충북 청주시 서원구,1,30,1,청주 우편집중국,3,15,100,5,중부권 광역우편물류센터,20,32,202,4,진주 우편집중국,42,54,190,1,전북 전주시 덕진구,64
001P10126,경기 안산시 단원구,1,68,4,부천 우편집중국,4,16,253,27,중부권 광역우편물류센터,29,41,256,43,원주 우편집중국,54,66,108,2,강원 화천군,71
001P10127,전북 전주시 덕진구,1,190,2,진주 우편집중국,11,23,202,121,중부권 광역우편물류센터,33,45,290,58,영암 우편집중국,59,71,50,4,전남 영암군,73
001P10128,부산 남구,1,35,3,부산 우편집중국,3,15,295,8,중부권 광역우편물류센터,30,42,251,37,창원 우편집중국,55,67,75,6,경남 창원시 성산구,71
001P10129,충북 증평군,1,58,2,청주 우편집중국,4,16,100,14,중부권 광역우편물류센터,21,33,218,8,성남 우편집중국,44,56,94,1,경기 이천시,61
001P10130,경기 수원시 영통구,1,30,5,수원 우편집중국,3,15,229,5,중부권 광역우편물류센터,26,38,290,7,영암 우편집중국,52,64,69,2,전남 장흥군,67
001P10131,서울 송파구,1,58,3,동서울 우편집중국,4,16,248,12,중부권 광역우편물류센터,28,40,256,34,원주 우편집중국,53,65,75,1,경기 여주시,69
001P10132,충남 천안시 서북구,1,30,1,천안 우편집중국,3,15,133,3,중부권 광역우편물류센터,22,34,251,2,창원 우편집중국,47,59,136,1,경남 통영시,66
001P10133,강원 동해시,1,72,2,강릉 우편집중국,5,17,368,4,중부권 광역우편물류센터,35,47,295,132,부산 우편집중국,62,74,39,4,경남 김해시,76
001P10134,충북 충주시,1,44,1,청주 우편집중국,3,15,100,5,중부권 광역우편물류센터,20,32,253,4,부천 우편집중국,45,57,36,1,서울 강서구,59
001P10135,대전 중구,1,57,4,대전 우편집중국,4,16,53,23,중부권 광역우편물류센터,19,31,218,3,성남 우편집중국,42,54,56,1,경기 안양시 만안구,57
001P10136,대전 동구,1,57,3,대전 우편집중국,4,16,53,23,중부권 광역우편물류센터,19,31,218,3,성남 우편집중국,42,54,64,1,경기 용인시 처인구,57
001P10137,경기 이천시,1,94,4,성남 우편집중국,6,18,218,68,중부권 광역우편물류센터,29,41,133,40,천안 우편집중국,48,60,45,3,충남 아산시,62
001P10138,경기 고양시 덕양구,1,30,2,고양 우편집중국,3,15,268,8,중부권 광역우편물류센터,28,40,100,17,청주 우편집중국,45,57,44,1,충북 충주시,59
001P10139,전북 고창군,1,234,3,진주 우편집중국,13,25,202,159,중부권 광역우편물류센터,35,47,295,132,부산 우편집중국,62,74,60,7,부산 수영구,77
001P10140,경북 봉화군,1,57,2,안동 우편집중국,4,16,216,11,중부권 광역우편물류센터,27,39,133,23,천안 우편집중국,46,58,154,2,충남 금산군,66
001P10141,경기 부천시,1,36,1,부천 우편집중국,3,15,253,10,중부권 광역우편물류센터,28,40,248,32,동서울 우편집중국,52,64,54,2,서울 강동구,67
001P10142,경기 안산시 단원구,1,68,4,부천 우편집중국,4,16,253,27,중부권 광역우편물류센터,29,41,229,26,수원 우편집중국,52,64,30,3,경기 수원시 영통구,66
001P10143,서울 강북구,1,64,3,의정부 우편집중국,4,16,261,24,중부권 광역우편물류센터,29,41,256,43,원주 우편집중국,54,66,124,10,강원 정선군,72
001P10144,전남 해남군,1,50,4,영암 우편집중국,3,15,290,11,중부권 광역우편물류센터,29,41,216,23,안동 우편집중국,52,64,97,6,경북 상주시,69
001P10145,서울 금천구,1,56,3,성남 우편집중국,4,16,218,24,중부권 광역우편물류센터,27,39,100,11,청주 우편집중국,44,56,30,1,충북 청주시 청원구,58
001P10146,경북 포항시 남구,1,30,2,포항 우편집중국,3,15,271,6,중부권 광역우편물류센터,29,41,53,26,대전 우편집중국,44,56,66,5,대전 대덕구,59
001P10147,강원 홍천군,1,81,3,원주 우편집중국,5,17,256,18,중부권 광역우편물류센터,30,42,256,58,원주 우편집중국,55,67,227,6,강원 태백시,78
001P10148,경남 고성군,1,117,3,창원 우편집중국,7,19,251,38,중부권 광역우편물류센터,32,44,248,76,동서울 우편집중국,56,68,84,4,서울 성동구,72
001P10149,경기 이천시,1,94,4,성남 우편집중국,6,18,218,68,중부권 광역우편물류센터,29,41,218,60,성남 우편집중국,52,64,58,4,경기 용인시 기흥구,67
001P10150,인천 부평구,1,36,4,부천 우편집중국,3,15,253,10,중부권 광역우편물류센터,28,40,318,16,울산 우편집중국,56,68,30,1,울산 북구,70
001P10151,경북 포항시 북구,1,30,2,포항 우편집중국,3,15,271,6,중부권 광역우편물류센터,29,41,248,42,동서울 우편집중국,53,65,84,3,서울 동대문구,69
001P10152,경기 양주시,1,38,2,의정부 우편집중국,3,15,261,6,중부권 광역우편물류센터,28,40,229,14,수원 우편집중국,51,63,69,1,경기 수원시 팔달구,66
001P10153,경기 양평군,1,144,2,동서울 우편집중국,8,20,248,67,중부권 광역우편물류센터,32,44,192,103,대구 우편집중국,54,66,80,8,경북 고령군,70
001P10154,경북 청도군,1,79,2,대구 우편집중국,5,17,192,46,중부권 광역우편물류센터,27,39,199,20,광주 우편집중국,49,61,128,3,전남 구례군,67
001P10155,전남 곡성군,1,92,2,광주 우편집중국,6,18,199,25,중부권 광역우편물류센터,28,40,233,9,순천 집중과,52,64,47,2,전남 광양시,66
