023P10037,경북 영덕군,중부권 광역우편물류센터,271,12,중부권 광역우편물류센터,강원 고성군,415,20
023P10043,전남 완도군,중부권 광역우편물류센터,310,16,중부권 광역우편물류센터,경기 화성시,207,40
023P10060,강원 삼척시,중부권 광역우편물류센터,420,24,중부권 광역우편물류센터,인천 서구,266,30
023P10070,부산 수영구,중부권 광역우편물류센터,315,16,중부권 광역우편물류센터,경남 양산시,300,32
023P10076,경남 양산시,중부권 광역우편물류센터,300,8,중부권 광역우편물류센터,인천 연수구,248,25
023P10082,부산 사하구,중부권 광역우편물류센터,308,17,중부권 광역우편물류센터,경기 용인시 기흥구,190,31
023P10088,부산 서구,중부권 광역우편물류센터,308,20,중부권 광역우편물류센터,대구 북구,192,30
023P10090,부산 사하구,중부권 광역우편물류센터,308,17,중부권 광역우편물류센터,경기 용인시 처인구,208,25
023P10091,부산 영도구,중부권 광역우편물류센터,308,13,중부권 광역우편물류센터,서울 은평구,273,32
023P10093,부산 중구,중부권 광역우편물류센터,308,14,중부권 광역우편물류센터,부산 해운대구,360,28
023P10099,경남 창원시 진해구,중부권 광역우편물류센터,295,11,중부권 광역우편물류센터,경북 의성군,214,46
023P10115,부산 사상구,중부권 광역우편물류센터,308,16,중부권 광역우편물류센터,대구 달서구,189,32
023P10116,전남 완도군,중부권 광역우편물류센터,310,16,중부권 광역우편물류센터,부산 연제구,315,44
023P10121,부산 동래구,중부권 광역우편물류센터,315,15,중부권 광역우편물류센터,경남 창원시 성산구,290,33
023P10131,울산 동구,중부권 광역우편물류센터,318,19,중부권 광역우편물류센터,광주 동구,215,28
023P10136,강원 속초시,중부권 광역우편물류센터,415,18,중부권 광역우편물류센터,전남 강진군,310,25
023P10138,울산 남구,중부권 광역우편물류센터,318,16,중부권 광역우편물류센터,전북 고창군,204,28
024P10012,강원 고성군,중부권 광역우편물류센터,415,14,중부권 광역우편물류센터,인천 동구,253,1
024P10015,강원 철원군,중부권 광역우편물류센터,286,20,중부권 광역우편물류센터,서울 양천구,258,28
024P10018,울산 중구,중부권 광역우편물류센터,318,21,중부권 광역우편물류센터,대구 남구,184,34
024P10027,경남 양산시,중부권 광역우편물류센터,300,13,중부권 광역우편물류센터,경북 영주시,242,34
024P10029,강원 춘천시,중부권 광역우편물류센터,317,16,중부권 광역우편물류센터,울산 북구,318,39
